Tweet_ID,Tweet
0,"@AskAnshul 
Why has @TIME not included Narendra Modi in top 100 influencial people on Earth.
I mean has Narendra Mo… https://t.co/Qd7S5ZZk2N"
1,"RT @NazlinShaikh: Narendra Modi, 52 leaders meet at CHOGM
https://t.co/elNdp20wTU

via NMApp @narendramodi @PMOIndia @AmitShah @mygovindia…"
2,"RT @TG_Asif: #GuardianExposesIndia
@AmritWilson
These Rape-cases are well planned by Hindu extremists backed by Indian state. The protests…"
3,"RT @brijeshkalappa: Was there a great big happy reunion of the Modi khandaan in London yesterday?!
All Modi's- Nirav, Lalit &amp; Narendra  hap…"
4,"RT @AsYouNotWish: Serial faker, Prakash Raaj, who claims to be apolitical, posts old pics from various locations as the pics of protest aga…"
5,"RT @CNNnews18: PM Narendra Modi said he had a ""wonderful meeting"" with German Chancellor Angela Merkel 
https://t.co/1HFlu6xbpA"
6,"RT @VinodChavdaBJP: PM Shri @narendramodi ji Joins World Leaders for Commonwealth Heads of Government Meeting Retreat in UK 
 https://t.co/…"
7,"RT @Chopdasaab: Burnol Prices will shoot up today... BJP sweeps local body polls in Jharkhand, Amit Shah says people trust PM Modi's 'model…"
8,"RT @AsYouNotWish: Serial faker, Prakash Raaj, who claims to be apolitical, posts old pics from various locations as the pics of protest aga…"
9,Germany's Angela Merkel meets India's Narendra Modi amid industry worries https://t.co/AkMDididY9 via @dwnews
10,RT @DBTIndia: Major Initiatives for DBT announced in the joint statement issued by Prime Minister of India Shri Narendra Modi and Prime Min…
11,@ashutosh83B Its narendra damodardas Modi... All other are involved in some crime and charges are there against the… https://t.co/MxGxuG1npa
12,"RT @AsYouNotWish: Serial faker, Prakash Raaj, who claims to be apolitical, posts old pics from various locations as the pics of protest aga…"
13,"RT @AsYouNotWish: Serial faker, Prakash Raaj, who claims to be apolitical, posts old pics from various locations as the pics of protest aga…"
14,"RT @thewirehindi: कहीं प्रधानमंत्री मोदी ने ख़ुद को ही तो भारत नहीं मान लिया है?
#NarendraModi #ModiInLondon #नरेंद्रमोदी #मोदीइनलंदन https…"
15,"RT @AsYouNotWish: Serial faker, Prakash Raaj, who claims to be apolitical, posts old pics from various locations as the pics of protest aga…"
16,"RT @VinodChavdaBJP: PM Shri @narendramodi ji Joins World Leaders for Commonwealth Heads of Government Meeting Retreat in UK 
 https://t.co/…"
17,"RT @AsYouNotWish: Serial faker, Prakash Raaj, who claims to be apolitical, posts old pics from various locations as the pics of protest aga…"
18,"RT @rubusmubu: If you haven’t listened TDP Leader &amp; Actor Balakrishna speech, he shouldn’t have abused PM of India Narendra Modi like this!…"
19,"आज मोदी सरकार ला सकती है 12 साल तक की बच्चियों से रेप पर फांसी का अध्यादेश https://t.co/dRnq8thul7

#ModiGovt .… https://t.co/mxFcMouzOi"
20,"RT @ikaveri: Revealed: Narendra Modi Link With Lalit Modi @nc24x7 https://t.co/XOjYGPr9jr

Modi Modi bhai bhai"
21,"RT @VinodChavdaBJP: PM Shri @narendramodi ji holds talks with German Chancellor Angela Merkel
 https://t.co/fFxBrNYw8q

via NMApp https://t…"
22,"RT @thewirehindi: कहीं प्रधानमंत्री मोदी ने ख़ुद को ही तो भारत नहीं मान लिया है?
#NarendraModi #ModiInLondon #नरेंद्रमोदी #मोदीइनलंदन https…"
23,"RT @thewirehindi: कहीं प्रधानमंत्री मोदी ने ख़ुद को ही तो भारत नहीं मान लिया है?
#NarendraModi #ModiInLondon #नरेंद्रमोदी #मोदीइनलंदन https…"
24,"RT @KalrajMishra: PM @narendramodi Joins World Leaders for Commonwealth Heads of Government Meeting Retreat in UK 
https://t.co/TMfBc4KHun"
25,"PM Modi Joins World Leaders for Commonwealth Heads of Government Meeting Retreat in UK 
https://t.co/f1jY2WNXSi

vi… https://t.co/1UMlgowq49"
26,"Y 
PM Narendra Modi holds talks with German Chancellor Angela Merkel
https://t.co/semMM8QKoy

via NMApp https://t.co/na42AKMGYL"
27,@SatpathyLive Demonitazation is the nobel work after Indian Independence by my Leader Narendra Modi.Honble Prime Minister.Govt.of India.
28,"RT @Yr_Conscience: #IndiaStandsWithCJI, my foot! Only Narendra Modi, his moron bhakts and the sanghis stand by him. A guy who is hands-in-g…"
29,"RT @ANI: Prime Minister Narendra Modi arrives in Delhi, received by EAM Sushma Swaraj. https://t.co/GMl1hBCO50"
30,"RT @ThakurRanjitDas: Attended the nationwide launch of extended #PMUY at Khaira ,Balasore .My sincere gratitude to https://t.co/vlY74luvGn…"
31,"Jai ho 
PM Modi Joins World Leaders for Commonwealth Heads of Government Meeting Retreat in UK… https://t.co/KnLniRCxSg"
32,RT @TheAshokSingh: Prakash Raaj posts old pics from various locations as the pics of protest against Narendra Modi during his most recent U…
33,"RT @AsYouNotWish: Serial faker, Prakash Raaj, who claims to be apolitical, posts old pics from various locations as the pics of protest aga…"
34,"Y 
PM Modi Joins World Leaders for Commonwealth Heads of Government Meeting Retreat in UK 
https://t.co/yezI3anzV3… https://t.co/qBkBi7OIYQ"
35,"RT @KilaFateh: Haha 😂🤣 you think you are intelligent!
Those who put Narendra modi fan in their bio

Are automatically shifted to moron cate…"
36,"PM Narendra Modi holds talks with German Chancellor Angela Merkel
 https://t.co/iRMozv0Na1

via NMApp https://t.co/ECrNMqioHK"
37,"RT @dinesh_chawla: Under leadership of PM Modi #India is ready to lead from the front
PM @narendramodi today joined other heads of governme…"
38,"RT @Manekagandhibjp: Hon’ble PM Shri @narendramodi holds talks with German Chancellor Angela Merkel
https://t.co/iaGbVhNvp0

via NMApp http…"
39,"RT @AsYouNotWish: Serial faker, Prakash Raaj, who claims to be apolitical, posts old pics from various locations as the pics of protest aga…"
40,"RT @ANI: Prime Minister Narendra Modi arrives in Delhi, received by EAM Sushma Swaraj. https://t.co/GMl1hBCO50"
41,"RT @VinodChavdaBJP: PM Shri @narendramodi ji Joins World Leaders for Commonwealth Heads of Government Meeting Retreat in UK 
 https://t.co/…"
42,"RT @rameshsrivats: #TwitterTips
Want likes? Say something bad about Arvind Kejriwal.
Want retweets? Say something bad about Rahul Gandhi.
W…"
43,"RT @VinodChavdaBJP: PM Shri @narendramodi ji holds talks with German Chancellor Angela Merkel
 https://t.co/fFxBrNYw8q

via NMApp https://t…"
44,RT @ANI: #Germany: Prime Minister Narendra Modi departs for Delhi from Berlin. PM attended a dinner hosted by Germany Chancellor Angela Mer…
45,"RT @thewirehindi: कहीं प्रधानमंत्री मोदी ने ख़ुद को ही तो भारत नहीं मान लिया है?
#NarendraModi #ModiInLondon #नरेंद्रमोदी #मोदीइनलंदन https…"
46,RT @defencedotpk: India is a ‘republic of fear’. The UK must keep the pressure on Modi | Amrit Wilson https://t.co/N8N3RBmj9D
47,RT @drajaykumar_ias: UK India Joint Statement April 18 after Hon'ble Prime Minister Narendra Modi meeting with UK Prime Minister https://t.…
48,"RT @ikaveri: Revealed: Narendra Modi Link With Lalit Modi @nc24x7 https://t.co/XOjYGPr9jr

Modi Modi bhai bhai"
49,"RT @orientaltimes_: नरेंद्र मोदी जी भी भारत देश से आरक्षण हटा दे , जैसे हमने हटा दिया :- शेख हसीना , बांग्लादेशी PM  https://t.co/2iEmY6xpA…"
50,"RT @mahmoodriazuk: #Solidarity with #Khalistani #Sikh 
Mahmood Riaz Former Minister of state AJK,Abdul Majid Khan Leader PTI AJK,stand Soli…"
51,"RT @Manekagandhibjp: During the #BharatKiBaatSabkeSaath programme, someone asked hon'ble PM Narendra Modi ji about Bhagwan Basaveshwara and…"
52,"RT @ANI: Prime Minister Narendra Modi arrives in Delhi, received by EAM Sushma Swaraj. https://t.co/GMl1hBCO50"
53,RT @ANI: #Germany: Prime Minister Narendra Modi departs for Delhi from Berlin. PM attended a dinner hosted by Germany Chancellor Angela Mer…
54,"RT @AsYouNotWish: Serial faker, Prakash Raaj, who claims to be apolitical, posts old pics from various locations as the pics of protest aga…"
55,"PM Modi Joins World Leaders for Commonwealth Heads of Government Meeting Retreat in UK 
 https://t.co/LFajdD09Rd

v… https://t.co/RA0VCIqjAh"
56,"RT @AsYouNotWish: Serial faker, Prakash Raaj, who claims to be apolitical, posts old pics from various locations as the pics of protest aga…"
57,"@RoflGandhi_ @Pun_Starr
@Vishj05 @swamv39
@RealHistoryPic
#ModiPuran
Narendra Narendra where have you been ?
I’m in… https://t.co/3EC09iLZ4D"
58,"RT @narendramodi_in: Highlights from Prime Minister @narendramodi's #BharatKiBaat programme in London. 

Check out more quotes of the Prime…"
59,"PM Modi Joins World Leaders for Commonwealth Heads of Government Meeting Retreat in UK 
 https://t.co/LFajdD09Rd

v… https://t.co/paVNsJwm4o"
60,"Y 
PM Modi Joins World Leaders for Commonwealth Heads of Government Meeting Retreat in UK 
https://t.co/yezI3anzV3… https://t.co/pnOzckojjt"
61,"RT @RPJaiswal8: Don't Underestimate India's Cunning Narendra Modi, says Forbes; You will get goosebumps when you know the reason behind For…"
62,मोदी अपनी ब्रिटेन यात्रा समाप्त करने के बाद बर्लिन पहुंचे थे. वहां उन्होंने राष्ट्रमंडल देशों के शासनाध्यक्षों (चोग… https://t.co/GKDkRSJOQX
63,"RT @anchan_shaila: ""I will be silent if Rahul Gandhi, Narendra Modi, Amit Shah and Siddaramaiah visit temples. I do not have any problem wi…"
64,"RT @DilCongress: Want likes? Say something bad about Arvind Kejriwal.
Want retweets? Say something bad about Rahul Gandhi.
Want comments? S…"
65,"Complete List Of Agreements Signed Between India And UK After PM Modi
The MoU or agreement on Skill Development, vo… https://t.co/oftFW3PPY3"
66,"RT @thewirehindi: कहीं प्रधानमंत्री मोदी ने ख़ुद को ही तो भारत नहीं मान लिया है?
#NarendraModi #ModiInLondon #नरेंद्रमोदी #मोदीइनलंदन https…"
67,"RT @vinayak_jain: Jharkhand Municipal polls —

🔹BJP wins 10 of 14 municipal council seats; 10 of 14 Nagar Panchayat seats.  
🔹BJP wins 4 of…"
68,"RT @rameshsrivats: #TwitterTips
Want likes? Say something bad about Arvind Kejriwal.
Want retweets? Say something bad about Rahul Gandhi.
W…"
69,RT @i_me_my5elf: Narendra Modi politicised Rape to Grab power but failed to provide protection to our daughters. Now it's time to ask him a…
70,"RT @rameshsrivats: #TwitterTips
Want likes? Say something bad about Arvind Kejriwal.
Want retweets? Say something bad about Rahul Gandhi.
W…"
71,"Don't Underestimate India's Cunning Narendra Modi, says Forbes; You will get goosebumps when you know the reason be… https://t.co/QnKyyoPtgx"
72,RT @CNNnews18: BJP’s Narendra Taneja to @bhupendrachaube on #Viewpoint – Because the Congress cannot target us and PM Modi politically they…
73,"RT @VinodChavdaBJP: PM Shri @narendramodi ji Joins World Leaders for Commonwealth Heads of Government Meeting Retreat in UK 
 https://t.co/…"
74,"RT @VinodChavdaBJP: PM Shri @narendramodi ji Joins World Leaders for Commonwealth Heads of Government Meeting Retreat in UK 
 https://t.co/…"
75,"RT @VinodChavdaBJP: PM Shri @narendramodi ji Joins World Leaders for Commonwealth Heads of Government Meeting Retreat in UK 
 https://t.co/…"
76,"RT @vinayak_jain: Jharkhand Municipal polls —

🔹BJP wins 10 of 14 municipal council seats; 10 of 14 Nagar Panchayat seats.  
🔹BJP wins 4 of…"
77,"RT @VinodChavdaBJP: PM Shri @narendramodi ji holds talks with German Chancellor Angela Merkel
 https://t.co/fFxBrNYw8q

via NMApp https://t…"
78,"RT @AsYouNotWish: Serial faker, Prakash Raaj, who claims to be apolitical, posts old pics from various locations as the pics of protest aga…"
79,"RT @Daslokeshyadav2: @narendramodi In our country, there is an increase in daily use, one of them is crime, because of prime like rap rape,…"
80,"PM Shri @narendramodi ji holds talks with German Chancellor Angela Merkel
 https://t.co/fFxBrNYw8q

via NMApp https://t.co/nwzjqxadzU"
81,"RT @ArunbajpaiRajan: नरेंद्र मोदी जी भारत के पहले ऐसे प्रधानमंत्री है, जिनके सामने मुझे झुकना पड़ा :-महारानी एलिजाबेथ,लंदन 
जहां एक ओर हिं…"
82,"@bshivaca @Narayana_kdp Packages thesukoni party's ki support chese vishayam lo competent ye kada mama.
CBN tho kal… https://t.co/mzj45yrdgO"
83,"RT @Dilsedesh: Narendra Modi may like people to believe that he and Lalit Modi are not on the same page, but it turns out that they are ind…"
84,"So now after Narendra Modi,Amit Shah,Maya Kodnani acquitted in Gujarat Riot case.
So the riots did happened or not?
Transparent governance."
85,"RT @hsawan: #India is a ‘republic of fear’. The #UK must keep the pressure on #Modi: #AmritWilson 

This is unprecedent in international #d…"
86,RT @the_hindu: Prime Minister Narendra Modi was accused of snubbing British Dalits after failing to visit Ambedkar House in London. #Modi…
87,What you get for mass killings in Narendra Modi's India. https://t.co/r1rejcsDVF
88,"Narendra Modi, 52 leaders meet at CHOGM
via NMApp https://t.co/8jwaUL0ESQ"
89,RT @defencedotpk: India is a ‘republic of fear’. The UK must keep the pressure on Modi | Amrit Wilson https://t.co/N8N3RBmj9D
90,"RT @rameshsrivats: #TwitterTips
Want likes? Say something bad about Arvind Kejriwal.
Want retweets? Say something bad about Rahul Gandhi.
W…"
91,RT @GaonConnection: बच्चियों के रेप जैसे मामले को लेकर केंद्र सरकार सख्त हो गई है। सरकार दुष्कर्म के दोषी को मौत की सजा देने के प्रावधान वा…
92,"RT @VinodChavdaBJP: PM Shri @narendramodi ji Joins World Leaders for Commonwealth Heads of Government Meeting Retreat in UK 
 https://t.co/…"
93,The F in Narendra Modi stands for Family. https://t.co/FZLOUBxYnn
94,"RT @ANI: Prime Minister Narendra Modi arrives in Delhi, received by EAM Sushma Swaraj. https://t.co/GMl1hBCO50"
95,"RT @narendramodi_in: Highlights from Prime Minister @narendramodi's #BharatKiBaat programme in London. 

Check out more quotes of the Prime…"
96,"RT @Daslokeshyadav2: @narendramodi In our country, there is an increase in daily use, one of them is crime, because of prime like rap rape,…"
97,"RT @republic: #CrucialCabinetMeet | PM to hold a special cabinet meeting, key decisions to be taken. Read More here
https://t.co/7ZbQC4BMbA"
98,"RT @Dilsedesh: Narendra Modi may like people to believe that he and Lalit Modi are not on the same page, but it turns out that they are ind…"
99,"RT @dasraghubar: प्रधानमंत्री श्री @narendramodi जी  और 52 अन्य नेताओं ने कॉमनवेल्थ हेड्स ऑफ गवर्नमेंट मीटिंग में भाग लिया
 https://t.co/DS…"
